,S.No.,State,District,Organization Name,Email,Address,Phone No.,Schemes Enrolled,Authorized Person
0,1, Andhra Pradesh ,Krishna,Sirisha Rehabilitation Centre,srcpamidi@yahoo.com,"DNO 3  /57, Veerankilock,PAMIDIMUKKALA(MD), VEERANKILOCK - 521250   ", 9441413161 ,"Vikaas,Disha Niramaya",M Immanuel
1,2, Andhra Pradesh ,Krishna,Kasinadhuni Durgamba Butchaiah Trust,kdbtrust_elakurru@yahoo.com,"3-74, NEAR S.F.U.P SchoolINK Road, Elakurru - 521156   ", 9441195424 ,"Disha,Vikaas",Kasinadhuni Nageswara Rao
2,3, Andhra Pradesh ,Godavari East,Uma Educational and Technical Society,umamanovikasakendram@gmail.com,"4 -54, Uma Manovikas NagarVakala Pudi Panchayath, Near Ryudupalem, Kakinada, District-East Godavari - 533005   ", 9848164779 ,"Badhte Kadam,Gharaunda Niramaya",S.P.Reddy
3,4, Andhra Pradesh ,Vishakhapatnam,Sreya Foundation,sreyafoundation@yahoo.co.in,"D.No.9-11-8/30, Sivajipalemopp road Sivajipark main gate, VISAKHAPATNAM - 530017   ", 9290457978 ,"Samarth,Badhte Kadam,Vikaas,Disha",Dr. Usha Devi.P
4,5, Andhra Pradesh ,Guntur,Sri Dakshinya Bhava Samithi,dakshinya1995@yahoo.com,"Madhavi Nilayam, Swarna Bharathi NagarJ.K.C. College Road, New RTO office, Guntur - 522006   ", 7702977499 ,"Gharaunda,Samarth,Vikaas,Badhte Kadam",Dr. T. Venkateswara Rao
5,6, Andhra Pradesh ,Sri Potti Sriramulu Nellore,Vasantha Lakshmi Charitable Trust and Research Center,vasanthalakshmi1998@gmail.com,"16-11-131, Kasturi Devi NagarPogathota, Nellore - 524001   ", 9000114422 ,"Badhte Kadam,Vikaas,Disha",Smt. Dr. T. Vasantha Lakshmi
6,7, Andhra Pradesh ,Vishakhapatnam,The Ability People,theabilitypeople@gmail.com,"Door no. 49-27-10,, Sashi Raj Palace,Madhura Nagar, Near Sitammapet Jn., Visakhapatnam - 530016   ", 9177363600 , Niramaya,Dilip Kumar Patro Una
7,8, Andhra Pradesh ,Krishna,Tadepallis Satya Sai Cheyutha Society,cheyutha36@gmail.com,"PLOT-18,ROAD-3,SECTOR-4,, LOTUS LAND MARKKEDARESWARAPET, VIJAYAWADA, VIJAYAWADA - 520003   ", 9440421781 ,"Disha,Vikaas,Badhte Kadam Niramaya",Dr.T.Krishna Kumari
8,9, Andhra Pradesh ,Srikakulam,Sunlight Educational Society,vijbhs@gmail.com,"Opp M I G 65, A P H B ColonyNear Santhoshimatha Temple, Srikakulam - 532001   ", 9989998602 ,Vikaas,B N R Sekhar
9,10, Andhra Pradesh ,Kurnool,Ambika Sishu Kendra A Unit Of Hemchand Devchand Charities Trust,askknl@yahoo.co.in,"44/86/C, PRAKASH NAGARPRAKASH NAGAR AUTO STAND, KURNOOL - 518004   ", 9395520111 , Niramaya,Bindu N Shah
10,11, Andhra Pradesh ,Guntur,Awards Yuva Tech Authorised Computer Centre,awards1979@gmail.com,"9-20-1035/1, Syamalanagar, 1st laneNear old Railway Track, Guntur - 522006   ", 9182877433 ,,P Venkata Rao
11,12, Andhra Pradesh ,Guntur,Prabhata Sindhuri Educational Society,prabhatasindhuri@gmail.com,"16-1-21, Ward No - 4, 3rd LINE NAVABHARAT NAGARBESIDES LIBRARY, GUNTUR - 522006   ", 9392227337 ,"Vikaas,Disha Niramaya",Vss Jayalakshmi Yamijala
12,13, Andhra Pradesh ,Godavari East,Santhivardhana Ministries,santhivardhana_ministries@yahoo.co.in,"4-152, Pulimeru VillageChadalada Post, Peddapuram Mandal, East Godavari District - 533433   ", 9177899997 ,,R. Veerababu
13,14, Andhra Pradesh ,Chittoor,Velugu,velugu1mpl@yahoo.co.in,"12/2/A, AMMACHERUVUMITTA, KOLLABAILUKADIRI ROAD, MADANAPALLE - 517325   ", 9440585285 ,"Gharaunda,Disha",M Uday Mohan Reddy
14,15, Andhra Pradesh ,Krishna,Assisi Health Care Society,delcyputhenpurayil@gmail.com,"335c, Lakshmipuram mainMilk Chilling Centre, Tiruvur - 521235   ", 9912070844 ,Vikaas,Sr Elsy Thomas
15,16, Assam ,Kamrup Metro,Destination,anjal28@gmail.com,"59, Bhagaduttapur, KahiliparaNear Synergy Imperial, Guwahati - 781019   ", 9954530985 ,,Rupa Hazarika
16,17, Assam ,Jorhat,Prerona Pratibandhi Sishu Bikash Kendra,prerona123@rediffmail.com,"17, P.O. CinnamaraDistrict  -Jorhat, Assam - 785008   ", 9854044474 ,"Disha,Samarth,Badhte Kadam Niramaya",Sayera Rahman
17,18, Assam ,Cachar,Deshbandhu Club,deshabandhuclub@rediffmail.com,"Behara Bazar, P.O. Behara BazarBehara Bazar, Silchar - 788817   ", 9435174392 ,Samarth Niramaya,Dr. Sanjib Sikidar
18,19, Assam ,Kamrup Metro,Shishu Sarothi Centre for Rehabilitation and Training for Multiple Disability,shishusarothi@gmail.com,"000, Ramakrishna Mission Roadopp to Tripura Bhawan, Guwahati - 781016   ", 9435040607 ,,Ketaki Bardalai
19,20, Assam ,Kamrup Metro,Ashadeep,anjanagos@yahoo.co.in,"3B, Piya Apartment, Kanaklata Path,Near Big Bazar, Guwahati - 781007   ", 9864077861 ,,Mr. Mukul Ch Goswami
20,21, Assam ,Nagaon,Gram Vikas Parishad,gramvikasparishad@gmail.com,"1, National Highway 36Rangaloo Wafa Enterprise, Nagaon - 782427   ", 9435060538 ,,Samsheddin Ahmed
21,22, Assam ,Dibrugarh,Mrinaljyoti Rehabilitation Centre,mrinaljyoti@yahoo.co.in,"93, Duliajan, Kumudnagar RoadNear Kumdnagar Namghar, Duliajan - 786602   ", 9954485197 ,Disha Niramaya,Mrs. Amiya Pathak Borpujari
22,23, Assam ,Sivasagar,Kaumudalaya,runjun.chutia1969@gmail.com,"7, Dubarani aliNear sub divisional social welfare office, Sivasagar - 785640   ", 8638074910 , Niramaya,Runjun Chutia
23,24, Assam ,Kamrup Metro,Sahayika Sishu Nirdeshan Kendra,utpalasharma@hotmail.com,"house no 3, Sahayika Sishu Nirdeshan Kendra,Govt Press Road, Bamunimaidam, Guwahati 781021near Govt Press, Guwahati - 781021   ", 9435192317 ,Disha,Subodh Sharma
24,25, Bihar ,Sitamarhi,Aarogyaa Foundation for Health Promotion and Community Based Rehabilitation,aarogyaafoundation@gmail.com,"COAT BAZAR, WARD No 13MAHARANI STHAN, SITAMARHI - 843302   ", 9934691872 ,"Badhte Kadam,Sahyogi,Disha,Vikaas",Dr Rajesh Kumar Suman
25,26, Bihar ,Patna,Child Concern,childconcernindia@gmail.com,"103, Sheela Complex, New Bahadurpur, Bazar Samiti Road, Rajendra NagarShyam Mandir, Patna - 800016   ", 9934977499 , Niramaya,Sulekha Kumari
26,27, Bihar ,Muzaffarpur,Baba Garibnath Viklang Sah Jan Seva Sansthan,babagarib1947@gmail.com,"WARD NO 26, KALAMBAGH ROADHANUMAN MANDIR, MUZAFFARPUR - 842001   ", 9334498630 ,,Deepika Choudhary
27,28, Bihar ,Patna,Bihar Association Of Person With Disabilities,biharassociationofpwd@gmail.com,"Patel Colony, Sandalpur, Mahendru, BahadurpurMahendru, Patna - 800006   ", 9386208309 ,,Hirday Yadav
28,29, Bihar ,West Champaran,Tapovan Bahuviklang Punarvas Sansthan,info.tapovanbihar@gmail.com,"142, S.P Colony, Barwat Prasarain, Muffasil, BettiahITI Road, Bettiah - 845438   ", 9852167545 ,"Disha,Vikaas,Badhte Kadam Niramaya",Vikram Kumar Singh
29,30, Bihar ,Patna,Samarpan Special School for Autism Cp Mr Slow Learner Deaf and Learning Disabilities,samarpanindia100@gmail.com,"SAMARPAN, ILLAHIBAGH, NEW BUS STAND BARIYA,PATNA GAYA ROAD, West South of Badshahi Pan, PO--BARIYA, Patna - 800007   ", 7991189522 , Niramaya,Santosh Kumar Sinha
