ngoid,state,district,ngoname,orgemail,physicaladdress,officephone,orgtype,chairmanname
1, Andhra Pradesh ,Krishna,Sirisha Rehabilitation Centre,srcpamidi@yahoo.com,"Dno 3 /57, Veerankilock,Pamidimukkala(Md), Veerankilock - 521250", 9441-413161 ,"Vikaas,Disha Niramaya",M Immanuel
2, Andhra Pradesh ,Krishna,Kasinadhuni Durgamba Butchaiah Trust,kdbtrust_elakurru@yahoo.com,"3-74, Near S.F.U.P Schoolink Road, Elakurru - 521156", 9441-195424 ,"Disha,Vikaas",Kasinadhuni Nageswara Rao
3, Andhra Pradesh ,Godavari East,Uma Educational and Technical Society,umamanovikasakendram@gmail.com,"4 -54, Uma Manovikas Nagarvakala Pudi Panchayath, Near Ryudupalem, Kakinada, District-East Godavari - 533005", 9848-164779 ,"Badhte Kadam,Gharaunda Niramaya",S.P.Reddy
4, Andhra Pradesh ,Vishakhapatnam,Sreya Foundation,sreyafoundation@yahoo.co.in,"D.No.9-11-8/30, Sivajipalemopp Road Sivajipark Main Gate, Visakhapatnam - 530017", 9290-457978 ,"Samarth,Badhte Kadam,Vikaas,Disha",Dr. Usha Devi.P
5, Andhra Pradesh ,Guntur,Sri Dakshinya Bhava Samithi,dakshinya1995@yahoo.com,"Madhavi Nilayam, Swarna Bharathi Nagarj.K.C. College Road, New Rto Office, Guntur - 522006", 7702-977499 ,"Gharaunda,Samarth,Vikaas,Badhte Kadam",Dr. T. Venkateswara Rao
6, Andhra Pradesh ,Sri Potti Sriramulu Nellore,Vasantha Lakshmi Charitable Trust and Research Center,vasanthalakshmi1998@gmail.com,"16-11-131, Kasturi Devi Nagarpogathota, Nellore - 524001", 9000-114422 ,"Badhte Kadam,Vikaas,Disha",Smt. Dr. T. Vasantha Lakshmi
7, Andhra Pradesh ,Vishakhapatnam,The Ability People,theabilitypeople@gmail.com,"Door No. 49-27-10,, Sashi Raj Palace,Madhura Nagar, Near Sitammapet Jn., Visakhapatnam - 530016", 9177-363600 , Niramaya,Dilip Kumar Patro Una
8, Andhra Pradesh ,Krishna,Tadepallis Satya Sai Cheyutha Society,cheyutha36@gmail.com,"Plot-18,Road-3,Sector-4,, Lotus Land Markkedareswarapet, Vijayawada, Vijayawada - 520003", 9440-421781 ,"Disha,Vikaas,Badhte Kadam Niramaya",Dr.T.Krishna Kumari
9, Andhra Pradesh ,Srikakulam,Sunlight Educational Society,vijbhs@gmail.com,"Opp M I G 65, A P H B Colonynear Santhoshimatha Temple, Srikakulam - 532001", 9989-998602 ,Vikaas,B N R Sekhar
10, Andhra Pradesh ,Kurnool,Ambika Sishu Kendra A Unit Of Hemchand Devchand Charities Trust,askknl@yahoo.co.in,"44/86/C, Prakash Nagarprakash Nagar Auto Stand, Kurnool - 518004", 9395-520111 , Niramaya,Bindu N Shah
11, Andhra Pradesh ,Guntur,Awards Yuva Tech Authorised Computer Centre,awards1979@gmail.com,"9-20-1035/1, Syamalanagar, 1St Lanenear Old Railway Track, Guntur - 522006", 9182-877433 ,,P Venkata Rao
12, Andhra Pradesh ,Guntur,Prabhata Sindhuri Educational Society,prabhatasindhuri@gmail.com,"16-1-21, Ward No - 4, 3Rd Line Navabharat Nagarbesides Library, Guntur - 522006", 9392-227337 ,"Vikaas,Disha Niramaya",Vss Jayalakshmi Yamijala
13, Andhra Pradesh ,Godavari East,Santhivardhana Ministries,santhivardhana_ministries@yahoo.co.in,"4-152, Pulimeru Villagechadalada Post, Peddapuram Mandal, East Godavari District - 533433", 9177-899997 ,,R. Veerababu
14, Andhra Pradesh ,Chittoor,Velugu,velugu1mpl@yahoo.co.in,"12/2/A, Ammacheruvumitta, Kollabailukadiri Road, Madanapalle - 517325", 9440-585285 ,"Gharaunda,Disha",M Uday Mohan Reddy
15, Andhra Pradesh ,Krishna,Assisi Health Care Society,delcyputhenpurayil@gmail.com,"335C, Lakshmipuram Mainmilk Chilling Centre, Tiruvur - 521235", 9912-070844 ,Vikaas,Sr Elsy Thomas
16, Assam ,Kamrup Metro,Destination,anjal28@gmail.com,"59, Bhagaduttapur, Kahiliparanear Synergy Imperial, Guwahati - 781019", 9954-530985 ,,Rupa Hazarika
17, Assam ,Jorhat,Prerona Pratibandhi Sishu Bikash Kendra,prerona123@rediffmail.com,"17, P.O. Cinnamaradistrict -Jorhat, Assam - 785008", 9854-044474 ,"Disha,Samarth,Badhte Kadam Niramaya",Sayera Rahman
18, Assam ,Cachar,Deshbandhu Club,deshabandhuclub@rediffmail.com,"Behara Bazar, P.O. Behara Bazarbehara Bazar, Silchar - 788817", 9435-174392 ,Samarth Niramaya,Dr. Sanjib Sikidar
19, Assam ,Kamrup Metro,Shishu Sarothi Centre for Rehabilitation and Training for Multiple Disability,shishusarothi@gmail.com,"000, Ramakrishna Mission Roadopp To Tripura Bhawan, Guwahati - 781016", 9435-040607 ,,Ketaki Bardalai
20, Assam ,Kamrup Metro,Ashadeep,anjanagos@yahoo.co.in,"3B, Piya Apartment, Kanaklata Path,Near Big Bazar, Guwahati - 781007", 9864-077861 ,,Mr. Mukul Ch Goswami
21, Assam ,Nagaon,Gram Vikas Parishad,gramvikasparishad@gmail.com,"1, National Highway 36Rangaloo Wafa Enterprise, Nagaon - 782427", 9435-060538 ,,Samsheddin Ahmed
22, Assam ,Dibrugarh,Mrinaljyoti Rehabilitation Centre,mrinaljyoti@yahoo.co.in,"93, Duliajan, Kumudnagar Roadnear Kumdnagar Namghar, Duliajan - 786602", 9954-485197 ,Disha Niramaya,Mrs. Amiya Pathak Borpujari
23, Assam ,Sivasagar,Kaumudalaya,runjun.chutia1969@gmail.com,"7, Dubarani Alinear Sub Divisional Social Welfare Office, Sivasagar - 785640", 8638-074910 , Niramaya,Runjun Chutia
24, Assam ,Kamrup Metro,Sahayika Sishu Nirdeshan Kendra,utpalasharma@hotmail.com,"House No 3, Sahayika Sishu Nirdeshan Kendra,Govt Press Road, Bamunimaidam, Guwahati 781021Near Govt Press, Guwahati - 781021", 9435-192317 ,Disha,Subodh Sharma
25, Bihar ,Sitamarhi,Aarogyaa Foundation for Health Promotion and Community Based Rehabilitation,aarogyaafoundation@gmail.com,"Coat Bazar, Ward No 13Maharani Sthan, Sitamarhi - 843302", 9934-691872 ,"Badhte Kadam,Sahyogi,Disha,Vikaas",Dr Rajesh Kumar Suman
26, Bihar ,Patna,Child Concern,childconcernindia@gmail.com,"103, Sheela Complex, New Bahadurpur, Bazar Samiti Road, Rajendra Nagarshyam Mandir, Patna - 800016", 9934-977499 , Niramaya,Sulekha Kumari
27, Bihar ,Muzaffarpur,Baba Garibnath Viklang Sah Jan Seva Sansthan,babagarib1947@gmail.com,"Ward No 26, Kalambagh Roadhanuman Mandir, Muzaffarpur - 842001", 9334-498630 ,,Deepika Choudhary
28, Bihar ,Patna,Bihar Association Of Person With Disabilities,biharassociationofpwd@gmail.com,"Patel Colony, Sandalpur, Mahendru, Bahadurpurmahendru, Patna - 800006", 9386-208309 ,,Hirday Yadav
29, Bihar ,West Champaran,Tapovan Bahuviklang Punarvas Sansthan,info.tapovanbihar@gmail.com,"142, S.P Colony, Barwat Prasarain, Muffasil, Bettiahiti Road, Bettiah - 845438", 9852-167545 ,"Disha,Vikaas,Badhte Kadam Niramaya",Vikram Kumar Singh
30, Bihar ,Patna,Samarpan Special School for Autism Cp Mr Slow Learner Deaf and Learning Disabilities,samarpanindia100@gmail.com,"Samarpan, Illahibagh, New Bus Stand Bariya,Patna Gaya Road, West South Of Badshahi Pan, Po--Bariya, Patna - 800007", 7991-189522 , Niramaya,Santosh Kumar Sinha
31, Bihar ,Patna,Utkarsh Seva Sansthan,utkarshsevasansthan@gmail.com,"2H/77Bahadurpur Housing Colony, Mahatma Gandhi Nagar ,Kankarbagnear Bhootnath Road, Patna - 800026", 8294-370626 , Niramaya,Manisha Krishna
32, Bihar ,Gaya,Environmental Consultancy Vikash Centre,gsecovic@hotmail.com,"Ecovic, South Lakhibag, Manpur,Near Laxmi Narayan Mandir, Gaya - 823003", 9431-623779 ,,Vijay Kumar
33, Bihar ,Nalanda,Shri Arvind Foundaion,alok3722@gmail.com,"Nh-33, At-Ajnaura, Po-Ajnauranalanda Convent Iti, Bihar Sharif - 803114", 8789-173582 , Niramaya,Alok Kumar
34, Bihar ,Saharsa,Koshi Kshetriya Biklang Bidhwa Bridh Kalyan Samiti,koshibiklang1991@gmail.com,"D.B.Road, Saharsa, Behind Of Punjab National Banknear Of Rajdarbar Hotal, Saharsa - 852201", 6201-099468 ,"Disha,Samarth",Binay Bhushan Prasad
35, Bihar ,Patna,Umang Bal Vikas Awasiya Viklang Prashikshan Sansthan,umangbalvikas@gmail.com,"Fair Field Colony, Digha Ghatnear Ashadeep, Patna - 800011", 9470-732392 ,,Satish Kumar
36, Bihar ,Patna,Laxmi Smriti Sewa Sansthan,lsss_society@rediffmail.com,"H/O Sri Mithilesh Kumar Singh, Mithapur B Area Bengali Road Patnanear Hope Hospital, Patna - 800001", 9507-035981 ,Badhte Kadam,Dr Hemendu Kumar Singh
37, Bihar ,Muzaffarpur,Rani Laxmi Bai Mahila Vikas Samiti,saphal.muzaffarpur@gmail.com,"Saphal, Susta Railway Crossing, Ram Dayalu Nagaropposite Hotel Atithi, Muzaffarpur - 842002", 7294-156409 ,,Usha Manaki
38, Bihar ,Nalanda,Shama Vikas Samiti,shamavikassamiti@gmail.com,"13, Ansar Nagarmalahbigha, Islampur - 801303", 9431-664173 ,"Samarth,Badhte Kadam,Vikaas,Vikaas",Md Nizam Uddin Ansari
39, Bihar ,Patna,Aastha Charitable and Welfare Society,druma.shankarsinha@gmail.com,"Opp Pillar No-56 Near Machali Market, Raza Bazarmacchali Market, Patna - 800014", 9334-106629 ,"Badhte Kadam,Sahyogi,Disha,Vikaas",Dr Uma Shankar Sinha
40, Chandigarh ,Chandigarh,Indian National Portage Association,tehalkohli@gmail.com,"Room No. - 14-15, Karuna Sadan, Ist Floorroom No. - 14-15, Sector - 11 - B, Chandigarh - 160011", 9417-372091 ,Disha,Tehal Kohli
41, Chandigarh ,Chandigarh,National Association for the Blind Chandigarh and Punjab Branch,nabchd@yahoo.co.in,"Karuna Sadan, Room No. 6 7, Sector 11-B, Basement, Red Cross Society Buildingsector 11-B, Chandigarh - 160011", 9779-377377 ,Sahyogi,Vinod Chadha
42, Chandigarh ,Chandigarh,Umeed Society for Job Placement Of Mentally Challenged,umeedsociety31@gmail.com,"Umeed Society (H.O.), Griid, Aashadeep Building, Sector 31Near Police Station, Chandigarh - 160030", 9478-376936 ,,Dr. B.S Chavan
43, Chattisgarh ,Dhamtari,Shanti Maitri Gramin Vikas Sansthan,shanti.maitri.gvs@gmail.com,"C/O Manoj Kumar Sahu Ward No 10, Village And Post Darbadarba Kurud Dhamtari, Kurud - 493661", 8319-353001 ,"Samarth,Sahyogi,Badhte Kadam,Vikaas,Gharaunda",Manoj Kumar Sahu
44, Chattisgarh ,Raigarh,Unnayak Seva Samiti,ussrgh@gmail.com,"960/22, Behind Upbhokta Foramsecond Transformer Kelo Vihar Colony, Raigarh - 496001", 9827-976100 ,"Gharaunda,Disha,Samarth,Badhte Kadam",Sidhanta Shankar Mohanty
45, Chattisgarh ,Korba,Ankur Special School - Unit Of Ankur Korba,ankurkorba@gmail.com,"Hig-100, Hig-100,M.P.Nagar, Korba - 495681", 9826-134708 ,,Arundhati Kulkarni
46, Chattisgarh ,Korea,Robert Kanan Bala Smriti Sewa Sansthan,rkbsss2001@yahoo.in,"70, Chainpurbaikuntpur Road, Manendragarh - 497442", 8109-709730 ,,Sapna Choubey
47, Chattisgarh ,Raipur,Aakanksha Lions Institute Of Learning and Empowerment A Unit Of Lions Club Raipur Sewa Samiti,aakankshalsmh@yahoo.com,"Aakanksha Parisar, Avanti Viharnew Kachna Road, Raipur - 492001", 9826-845678 ,,Krishna Kumar Nayak
48, Chattisgarh ,Surguja,Anamika Welfare Society,anamika.welfaresociety07@gmail.com,"26, Deviganj Roadbehind Of Anamika Mobile, Ambikapur - 497001", 9926-134076 ,,Reeta Agrawal
49, Chattisgarh ,Kanker,Gundadhur Seva Shikshan Sanstha,gundadhur123@yahoo.com,"C-1,28/ 7Sector-7, New Rajendra Nagar Raipurnear Sai Ram Hospital, Raipur - 492001", 9201-457567 ,,Anil Chandel
50, Chattisgarh ,Gariya Band,Prerak Samiti,prerak.gbd@gmail.com,"Saksham , Rehabilitation Training Center For Person With Disability, Gariaband Road, Rajimnear Sindhouri Chowk, Rajim - 493885", 9424-218653 ,,Mr. R G Sinha
51, Chattisgarh ,Raipur,Samvedna Mansik Viklang Seva Sanstha,samvedna.smh@gmail.com,"52/509, Sundar Nagarholy Mother School, Raipur - 492013", 9302-090820 ,,Meena Sharma
52, Chattisgarh ,Bastar,Manovikas Special School Aghanpur Jagdalpur Bastar Dist run by Bastar Viklang Seva Samiti,manovikasjdp@gmail.com,"93, Chatrapati Shivaji Ward No 35, Aghanpurdharampura, Jagdalpur - 494001", 7748-012890 ,,Sr Betsy Thomas
53, Chattisgarh ,Raipur,Kopal Vani Child Welfare Organization,kopalvani@gmail.com,"06, Sahaj Marg, Sunder Nagarbehind Kps School, Raipur - 492013", 8871-415388 ,Disha,Kopal Vani Child Welfare Organization
54, Chattisgarh ,Bilaspur,Vikas Seva Sanstha Samalpuri Bilaspur,vssgarounda2000@gmail.com,"Domuhani, Garima Press Parisar Tilak Nagar Chantapara Bilaspur C.G.Behaind Chowkse Coledge Lal Khadan, Bilaspur - 495001", 9827-186959 ,,Smt. Anshu Gour
55, Goa ,North Goa,Disha Charitable Trust,disha.sare.ansh@gmail.com,"Disha Charitable Trust, 18 June Roadbehind Directorate Of Education, Panaji, Goa - 403001", 9822-980015 ,,Sandhya Kalokhe
56, Goa ,South Goa,Lokvishwas Pratishthan Special School,morearvind74@rediffmail.com,"6/3, Shantadurga Krupashramdhavali, Ponda - 403401", 9422-059580 ,,Shri. Anup S.S. Priolkar
57, Goa ,North Goa,Anand Niketan School for Differently Abled run by Aastha,anandniketangoa@gmail.com,"1, Ghateshwarnagar,Nr. Urban Health Centrekhorlim, Mapusa, Mapusa - 403507", 7499-461832 ,,Mr. Guruprasad Pawaskar
58, Goa ,North Goa,Sangath,contactus@sangath.in,"451/168, Bhatkar Vaddosocorro Porvorim, Porvorim - 403501", 9881-499458 ,,Ms. Monica Bariya
59, Goa ,North Goa,Sethu,reachus@sethu.in,"35, Defence Colony, Alto Porvorimdefence Colony, Porvorim - 403521", 7720-013749 ,"Badhte Kadam,Badhte Kadam,Sahyogi,Badhte Kadam,Badhte Kadam,Sahyogi,Sahyogi,Sahyogi,Badhte Kadam,Badhte Kadam,Badhte Kadam,Sahyogi,Sahyogi,Badhte Kadam,Badhte Kadam",Dr. Nandita De Souza
60, Gujarat ,Valsad,Manovikas Charitable Trust,mohanbdeo59@gmail.com,"Manovikas Charitable Trust, Degam Vapih B Primary School, Vapi - 396191", 8141-814494 , Niramaya,Dr. Mohan B. Deo
61, Gujarat ,Surendranagar,Ashirwad Viklang Trust,atfd.sayla@yahoo.in,"4, B/H, Police Stationnational Highway, Sayla, Dist. Surendranagar - 363430", 9328-950340 ,"Badhte Kadam,Disha,Vikaas Niramaya",R.S.Jadav
62, Gujarat ,Ahmedabad,Shah Jaswantlal Jiwanlal Charitable Trust,jjctrehab@gmail.com,"301,302,303 Aagam Complex, Apmc Market Roadb/S Vasna Police Station, Vasna, Ahmedabad - 380051", 9825-877370 ,,Yashesh Shah
