S.No.,State,District,Organization Name,Email,Address,Phone No.,Schemes Enrolled,Authorized Person
1, Andhra Pradesh ,Krishna											,SIRISHA REHABILITATION CENTRE,srcpamidi@yahoo.com,"
												DNO 3  /57, Veerankilock,PAMIDIMUKKALA(MD), VEERANKILOCK - 521250   
											", 9441413161 ,"
												Vikaas,Disha												 												Niramaya											",M IMMANUEL
2, Andhra Pradesh ,Krishna											,Kasinadhuni Durgamba Butchaiah Trust,kdbtrust_elakurru@yahoo.com,"
												3-74, NEAR S.F.U.P SchoolINK Road, Elakurru - 521156   
											", 9441195424 ,"
												Disha,Vikaas																																			",Kasinadhuni Nageswara Rao
3, Andhra Pradesh ,Godavari East											,Uma Educational and Technical Society,umamanovikasakendram@gmail.com,"
												4 -54, Uma Manovikas NagarVakala Pudi Panchayath, Near Ryudupalem, Kakinada, District-East Godavari - 533005   
											", 9848164779 ,"
												Badhte Kadam,Gharaunda												 												Niramaya											",S.P.Reddy
4, Andhra Pradesh ,Vishakhapatnam											,Sreya Foundation,sreyafoundation@yahoo.co.in,"
												D.No.9-11-8/30, Sivajipalemopp road Sivajipark main gate, VISAKHAPATNAM - 530017   
											", 9290457978 ,"
												Samarth,Badhte Kadam,Vikaas,Disha																																			",Dr. Usha Devi.P
5, Andhra Pradesh ,Guntur											,Sri Dakshinya Bhava Samithi,dakshinya1995@yahoo.com,"
												Madhavi Nilayam, Swarna Bharathi NagarJ.K.C. College Road, New RTO office, Guntur - 522006   
											", 7702977499 ,"
												Gharaunda,Samarth,Vikaas,Badhte Kadam																																			",Dr. T. Venkateswara Rao
6, Andhra Pradesh ,Sri Potti Sriramulu Nellore											,Vasantha Lakshmi Charitable Trust and Research Center,vasanthalakshmi1998@gmail.com,"
												16-11-131, Kasturi Devi NagarPogathota, Nellore - 524001   
											", 9000114422 ,"
												Badhte Kadam,Vikaas,Disha																																			",Smt. Dr. T. Vasantha Lakshmi
7, Andhra Pradesh ,Vishakhapatnam											,The Ability People,theabilitypeople@gmail.com,"
												Door no. 49-27-10,, Sashi Raj Palace,Madhura Nagar, Near Sitammapet Jn., Visakhapatnam - 530016   
											", 9177363600 ,"
																								 												Niramaya											",DILIP KUMAR PATRO UNA
8, Andhra Pradesh ,Krishna											,TADEPALLIS  SATYA SAI CHEYUTHA SOCIETY,cheyutha36@gmail.com,"
												PLOT-18,ROAD-3,SECTOR-4,, LOTUS LAND MARKKEDARESWARAPET, VIJAYAWADA, VIJAYAWADA - 520003   
											", 9440421781 ,"
												Disha,Vikaas,Badhte Kadam												 												Niramaya											",Dr.T.Krishna Kumari
9, Andhra Pradesh ,Srikakulam											,Sunlight Educational Society,vijbhs@gmail.com,"
												Opp M I G 65, A P H B ColonyNear Santhoshimatha Temple, Srikakulam - 532001   
											", 9989998602 ,"
												Vikaas																																			",B N R sekhar
10, Andhra Pradesh ,Kurnool											,AMBIKA  SISHU  KENDRA   A Unit of Hemchand Devchand Charities Trust,askknl@yahoo.co.in,"
												44/86/C, PRAKASH NAGARPRAKASH NAGAR AUTO STAND, KURNOOL - 518004   
											", 9395520111 ,"
																								 												Niramaya											",BINDU N SHAH
"
																								 ",,,,,,,,
 Page 1 of 55 ( 542 records ) ,,,,,,,,
11, Andhra Pradesh ,Guntur											,AWARDS YUVA TECH AUTHORISED COMPUTER CENTRE,awards1979@gmail.com,"
												9-20-1035/1, Syamalanagar, 1st laneNear old Railway Track, Guntur - 522006   
											", 9182877433 ,"
																																															",P VENKATA RAO
12, Andhra Pradesh ,Guntur											,PRABHATA SINDHURI EDUCATIONAL SOCIETY,prabhatasindhuri@gmail.com,"
												16-1-21, Ward No - 4, 3rd LINE NAVABHARAT NAGARBESIDES LIBRARY, GUNTUR - 522006   
											", 9392227337 ,"
												Vikaas,Disha												 												Niramaya											",VSS JAYALAKSHMI YAMIJALA
13, Andhra Pradesh ,Godavari East											,SANTHIVARDHANA MINISTRIES,santhivardhana_ministries@yahoo.co.in,"
												4-152, Pulimeru VillageChadalada Post, Peddapuram Mandal, East Godavari District - 533433   
											", 9177899997 ,"
																																															",R. Veerababu
14, Andhra Pradesh ,Chittoor											,VELUGU,velugu1mpl@yahoo.co.in,"
												12/2/A, AMMACHERUVUMITTA, KOLLABAILUKADIRI ROAD, MADANAPALLE - 517325   
											", 9440585285 ,"
												Gharaunda,Disha																																			",M UDAY MOHAN REDDY
15, Andhra Pradesh ,Krishna											,Assisi Health Care Society,delcyputhenpurayil@gmail.com,"
												335c, Lakshmipuram mainMilk Chilling Centre, Tiruvur - 521235   
											", 9912070844 ,"
												Vikaas																																			",Sr Elsy Thomas
16, Assam ,Kamrup Metro											,Destination,anjal28@gmail.com,"
												59, Bhagaduttapur, KahiliparaNear Synergy Imperial, Guwahati - 781019   
											", 9954530985 ,"
																																															",Rupa Hazarika
17, Assam ,Jorhat											,Prerona Pratibandhi Sishu Bikash Kendra,prerona123@rediffmail.com,"
												17, P.O. CinnamaraDistrict  -Jorhat, Assam - 785008   
											", 9854044474 ,"
												Disha,Samarth,Badhte Kadam												 												Niramaya											",Sayera Rahman
18, Assam ,Cachar											,Deshbandhu Club,deshabandhuclub@rediffmail.com,"
												Behara Bazar, P.O. Behara BazarBehara Bazar, Silchar - 788817   
											", 9435174392 ,"
												Samarth												 												Niramaya											",Dr. Sanjib Sikidar
19, Assam ,Kamrup Metro											,SHISHU SAROTHI CENTRE FOR REHABILITATION  AND TRAINING FOR MULTIPLE DISABILITY,shishusarothi@gmail.com,"
												000, Ramakrishna Mission Roadopp to Tripura Bhawan, Guwahati - 781016   
											", 9435040607 ,"
																																															",KETAKI BARDALAI
20, Assam ,Kamrup Metro											,ASHADEEP,anjanagos@yahoo.co.in,"
												3B, Piya Apartment, Kanaklata Path,Near Big Bazar, Guwahati - 781007   
											", 9864077861 ,"
																																															",Mr. Mukul Ch Goswami
"
																								",,,,,,,,
 Page 2 of 55 ( 542 records ) ,,,,,,,,
21, Assam ,Nagaon											,Gram Vikas Parishad,gramvikasparishad@gmail.com,"
												1, National Highway 36Rangaloo Wafa Enterprise, Nagaon - 782427   
											", 9435060538 ,"
																																															",Samsheddin Ahmed
22, Assam ,Dibrugarh											,Mrinaljyoti Rehabilitation Centre,mrinaljyoti@yahoo.co.in,"
												93, Duliajan, Kumudnagar RoadNear Kumdnagar Namghar, Duliajan - 786602   
											", 9954485197 ,"
												Disha												 												Niramaya											",Mrs. Amiya Pathak Borpujari
23, Assam ,Sivasagar											,KAUMUDALAYA,runjun.chutia1969@gmail.com,"
												7, Dubarani aliNear sub divisional social welfare office, Sivasagar - 785640   
											", 8638074910 ,"
																								 												Niramaya											",RUNJUN CHUTIA
24, Assam ,Kamrup Metro											,Sahayika Sishu Nirdeshan Kendra,utpalasharma@hotmail.com,"
												house no 3, Sahayika Sishu Nirdeshan Kendra,Govt Press Road, Bamunimaidam, Guwahati 781021near Govt Press, Guwahati - 781021   
											", 9435192317 ,"
												Disha																																			",Subodh Sharma
25, Bihar ,Sitamarhi											,AAROGYAA FOUNDATION FOR HEALTH PROMOTION AND COMMUNITY BASED REHABILITATION,aarogyaafoundation@gmail.com,"
												COAT BAZAR, WARD No 13MAHARANI STHAN, SITAMARHI - 843302   
											", 9934691872 ,"
												Badhte Kadam,Sahyogi,Disha,Vikaas																																			",DR RAJESH KUMAR SUMAN
26, Bihar ,Patna											,Child Concern,childconcernindia@gmail.com,"
												103, Sheela Complex, New Bahadurpur, Bazar Samiti Road, Rajendra NagarShyam Mandir, Patna - 800016   
											", 9934977499 ,"
																								 												Niramaya											",Sulekha Kumari
27, Bihar ,Muzaffarpur											,BABA GARIBNATH VIKLANG SAH JAN SEVA SANSTHAN,babagarib1947@gmail.com,"
												WARD NO 26, KALAMBAGH ROADHANUMAN MANDIR, MUZAFFARPUR - 842001   
											", 9334498630 ,"
																																															",DEEPIKA CHOUDHARY
28, Bihar ,Patna											,BIHAR ASSOCIATION OF PERSON WITH DISABILITIES,biharassociationofpwd@gmail.com,"
												Patel Colony, Sandalpur, Mahendru, BahadurpurMahendru, Patna - 800006   
											", 9386208309 ,"
																																															",HIRDAY YADAV
29, Bihar ,West Champaran											,TAPOVAN BAHUVIKLANG PUNARVAS SANSTHAN,info.tapovanbihar@gmail.com,"
												142, S.P Colony, Barwat Prasarain, Muffasil, BettiahITI Road, Bettiah - 845438   
											", 9852167545 ,"
												Disha,Vikaas,Badhte Kadam												 												Niramaya											",VIKRAM KUMAR SINGH
30, Bihar ,Patna											,SAMARPAN   SPECIAL SCHOOL FOR AUTISM  CP MR SLOW LEARNER DEAF AND LEARNING DISABILITIES,samarpanindia100@gmail.com,"
												SAMARPAN, ILLAHIBAGH, NEW BUS STAND BARIYA,PATNA GAYA ROAD, West South of Badshahi Pan, PO--BARIYA, Patna - 800007   
											", 7991189522 ,"
																								 												Niramaya											",SANTOSH KUMAR SINHA
"
																								",,,,,,,,
 Page 3 of 55 ( 542 records ) ,,,,,,,,
31, Bihar ,Patna											,Utkarsh Seva Sansthan,utkarshsevasansthan@gmail.com,"
												2H/77Bahadurpur Housing Colony, Mahatma Gandhi Nagar ,KankarbagNear Bhootnath Road, Patna - 800026   
											", 8294370626 ,"
																								 												Niramaya											",Manisha Krishna
32, Bihar ,Gaya											,Environmental Consultancy Vikash Centre,gsecovic@hotmail.com,"
												ECOVIC, South Lakhibag, Manpur,Near Laxmi Narayan Mandir, Gaya - 823003   
											", 9431623779 ,"
																																															",Vijay Kumar
33, Bihar ,Nalanda											,SHRI ARVIND FOUNDAION,alok3722@gmail.com,"
												NH-33, AT-AJNAURA, PO-AJNAURANALANDA CONVENT ITI, BIHAR SHARIF - 803114   
											", 8789173582 ,"
																								 												Niramaya											",ALOK KUMAR
34, Bihar ,Saharsa											,Koshi Kshetriya Biklang Bidhwa Bridh Kalyan Samiti,koshibiklang1991@gmail.com,"
												D.B.Road, Saharsa, Behind of Punjab National BankNear of Rajdarbar Hotal, Saharsa - 852201   
											", 6201099468 ,"
												Disha,Samarth																																			",Binay Bhushan Prasad
35, Bihar ,Patna											,UMANG BAL VIKAS AWASIYA VIKLANG PRASHIKSHAN SANSTHAN,umangbalvikas@gmail.com,"
												FAIR FIELD COLONY, DIGHA GHATNEAR ASHADEEP, PATNA - 800011   
											", 9470732392 ,"
																																															",SATISH KUMAR
36, Bihar ,Patna											,LAXMI SMRITI SEWA SANSTHAN,lsss_society@rediffmail.com,"
												H/O SRI MITHILESH KUMAR SINGH, MITHAPUR B AREA BENGALI ROAD PATNANEAR HOPE HOSPITAL, Patna - 800001   
											", 9507035981 ,"
												Badhte Kadam																																			",DR HEMENDU KUMAR SINGH
37, Bihar ,Muzaffarpur											,RANI LAXMI BAI MAHILA VIKAS SAMITI,saphal.muzaffarpur@gmail.com,"
												SAPHAL, SUSTA RAILWAY CROSSING, RAM DAYALU NAGAROPPOSITE HOTEL ATITHI, MUZAFFARPUR - 842002   
											", 7294156409 ,"
																																															",USHA MANAKI
38, Bihar ,Nalanda											,Shama Vikas Samiti,shamavikassamiti@gmail.com,"
												13, Ansar NagarMalahbigha, Islampur - 801303   
											", 9431664173 ,"
												Samarth,Badhte Kadam,Vikaas,Vikaas																																			",Md Nizam Uddin Ansari
39, Bihar ,Patna											,AASTHA CHARITABLE AND WELFARE SOCIETY,druma.shankarsinha@gmail.com,"
												OPP PILLAR NO-56 NEAR MACHALI MARKET, RAZA BAZARMACCHALI MARKET, PATNA - 800014   
											", 9334106629 ,"
												Badhte Kadam,Sahyogi,Disha,Vikaas																																			",DR UMA SHANKAR SINHA
40, Chandigarh ,Chandigarh											,Indian National Portage Association,tehalkohli@gmail.com,"
												Room No. - 14-15, Karuna Sadan, Ist FloorRoom No. - 14-15, Sector - 11 - B, Chandigarh - 160011   
											", 9417372091 ,"
												Disha																																			",TEHAL KOHLI
"
																								",,,,,,,,
 Page 4 of 55 ( 542 records ) ,,,,,,,,
41, Chandigarh ,Chandigarh											,National Association for the Blind Chandigarh and Punjab branch,nabchd@yahoo.co.in,"
												Karuna Sadan, Room No. 6  7, Sector 11-B, Basement, Red Cross Society buildingSector 11-B, Chandigarh - 160011   
											", 9779377377 ,"
												Sahyogi																																			",Vinod Chadha
42, Chandigarh ,Chandigarh											,Umeed Society For Job Placement Of Mentally  Challenged,umeedsociety31@gmail.com,"
												UMEED SOCIETY (H.O.), GRIID, AASHADEEP BUILDING, SECTOR 31NEAR POLICE STATION, CHANDIGARH - 160030   
											", 9478376936 ,"
																																															",Dr. B.S Chavan
43, Chattisgarh ,Dhamtari											,SHANTI MAITRI GRAMIN VIKAS SANSTHAN,shanti.maitri.gvs@gmail.com,"
												C/O MANOJ KUMAR SAHU WARD NO 10, VILLAGE AND POST DARBADARBA KURUD DHAMTARI, KURUD - 493661   
											", 8319353001 ,"
												Samarth,Sahyogi,Badhte Kadam,Vikaas,Gharaunda																																			",MANOJ KUMAR SAHU
44, Chattisgarh ,Raigarh											,UNNAYAK SEVA SAMITI,ussrgh@gmail.com,"
												960/22, BEHIND UPBHOKTA FORAMSECOND TRANSFORMER KELO VIHAR COLONY, RAIGARH - 496001   
											", 9827976100 ,"
												Gharaunda,Disha,Samarth,Badhte Kadam																																			",SIDHANTA SHANKAR MOHANTY
45, Chattisgarh ,Korba											,Ankur Special School - Unit of  Ankur Korba,ankurkorba@gmail.com,"
												HIG-100, HIG-100,M.P.Nagar, Korba - 495681   
											", 9826134708 ,"
																																															",Arundhati Kulkarni
46, Chattisgarh ,Korea											,ROBERT KANAN BALA SMRITI SEWA SANSTHAN,rkbsss2001@yahoo.in,"
												70, CHAINPURBaikuntpur Road, Manendragarh - 497442   
											", 8109709730 ,"
																																															",SAPNA CHOUBEY
47, Chattisgarh ,Raipur											,Aakanksha Lions Institute of Learning  and Empowerment a unit of Lions Club Raipur Sewa Samiti,aakankshalsmh@yahoo.com,"
												Aakanksha Parisar, Avanti ViharNew Kachna Road, Raipur - 492001   
											", 9826845678 ,"
																																															",Krishna Kumar Nayak
48, Chattisgarh ,Surguja											,Anamika Welfare Society,anamika.welfaresociety07@gmail.com,"
												26, Deviganj RoadBehind of Anamika Mobile, Ambikapur - 497001   
											", 9926134076 ,"
																																															",Reeta Agrawal
49, Chattisgarh ,Kanker											,GUNDADHUR SEVA SHIKSHAN SANSTHA,Gundadhur123@yahoo.com,"
												C-1,28/ 7SECTOR-7, NEW RAJENDRA NAGAR  RAIPURNEAR SAI RAM HOSPITAL, RAIPUR - 492001   
											", 9201457567 ,"
																																															",ANIL CHANDEL
50, Chattisgarh ,Gariya Band											,PRERAK SAMITI,prerak.gbd@gmail.com,"
												SAKSHAM , REHABILITATION TRAINING CENTER FOR PERSON WITH DISABILITY, GARIABAND ROAD,  RAJIMNEAR SINDHOURI CHOWK, Rajim - 493885   
											", 9424218653 ,"
																																															",Mr. R G Sinha
"
																								",,,,,,,,
 Page 5 of 55 ( 542 records ) ,,,,,,,,
51, Chattisgarh ,Raipur											,Samvedna Mansik Viklang Seva Sanstha,samvedna.smh@gmail.com,"
												52/509, Sundar NagarHoly Mother School, Raipur - 492013   
											", 9302090820 ,"
																																															",Meena Sharma
52, Chattisgarh ,Bastar											,Manovikas Special School Aghanpur Jagdalpur  Bastar Dist Run By Bastar Viklang Seva Samiti,manovikasjdp@gmail.com,"
												93, Chatrapati Shivaji Ward no 35, AghanpurDharampura, Jagdalpur - 494001   
											", 7748012890 ,"
																																															",Sr Betsy Thomas
53, Chattisgarh ,Raipur											,Kopal Vani Child Welfare Organization,kopalvani@gmail.com,"
												06, Sahaj Marg, Sunder NagarBehind KPS School, Raipur - 492013   
											", 8871415388 ,"
												Disha																																			",Kopal Vani Child Welfare Organization
