website,about,vision,registered_type,permanent_account_number,registration_number_date_CIN,12A_registration_number_date,80G_registration_number_date,FCRA_registration_number_date,35AC_registration_number_date,annual_budget,total_income,total_expenditure,avg_monthly_expenditure,total_fixed_assets,long_term_loan,total_gap_funding,num_full_time_employees,num_part_time_employees,num_consultants,num_volunteers,operational_area_help_needed,num_board_members,num_meetings_done,governance_photos,governance_docs,major_funder,funder_names,project_start_date,project_end_date,project_sector,location,cities,area,budget,external_funding_amount,num_beneficiaries,project_type,project_photos,project_documents,project_descriptions,logo,name,founder_description,address,url,focus_area,geog_area,project_completed,funding_req
http://www.ngoimpact.com/ngos/turning-point-foundation#profile,"TPF is a not for profit, national level voluntary organization. Since its inception at the beginning of this millennium, it is active in the field of health focusing on Drug Abuse Prevention and Treatment, HIV/AIDS prevention & promoting Alternative Systems of Medicines. It stands out of the crowd by way of its innovatively developed and unique approach and action, based on its underlying principle -care and share.",VisionThe vision of the organisation is to develop an environment for our beneficiaries in which they can make healthy choices and lead a life of dignity and respect. To provide quality and cost effective services to people negatively affected by issues related to social and health.  Ensuring holistic approach to the treatment so that the clients will achieve a degree of well being and wellness.,Charitable Society,AABTT1084A,S/41220 - 14-01-2002,1242 - 14-03-2003,8263043 - 11-10-2011,231660609 - 12-12-2005,N/A,"₹8,822,990","₹6,647,492","₹6,995,030","₹8,822,990","₹1,907,543",₹0,"₹347,538",12,1,2,1,"Marketing, Website Development, Fundraising",7,6,,,Resident Individuals,INDIVIDUALS,1/4/2016,31-12-2016,Environment And Sustainabilty,Delhi,New Delhi,NEW DELHI,"₹5,655,590",₹0,166,Non-Government,http://www.ngoimpact.com/ngoadmin/public/project/photo/project-ngoimpact-94718.jpg,,"Project description Drug De-addiction & Rehabilitation Services (Residential) at Delhi (Facilities to cater different Income Groups with Single/Multiple, A/c and Non A/c Rooms and General Wards. Those who are unable pay may meet us directly and/or send us E-mail) HIV/AIDS Prevention and Harm Reduction for Injecting Drug Users at Panipat Naturopathy & Yoga Treatment Services at Delhi Drugs/Alcohol Abuse Awareness Camps at Panipat & Delhi HIV/AIDS Awareness Camps at Panipat & Delhi General Health Camps Panipat & Delhi Subsidized Clinical Laboratory Services in Delhi Ambulance Services in Delhi Awareness sessions on HIV&AIDS and Drugs/Alcohol for employees/students at institutions",http://www.ngoimpact.com/ngoadmin/public/ngo_profile/logo_avtar/turning-point-foundation-ngoimpact-74122.jpg,Turning Point Foundation Best Non-Government Organizations & Social Enterprises in India – NGO Impact,perm_identity Founded by Mr. Jojo Thomas ( 25 years of experience ),"room A-528, Near Dayal Market, Narela Road, Alipur, New Delhi, Delhi- 110036",http://www.tpfindia.org,Healthcare / Prevention,Delhi,5,"₹ 1,500,000"
http://www.ngoimpact.com/ngos/basic-research-education-and-development-society-bread-society#profile,Basic Research Education And Development Society more commonly known as BREAD Society was registered as a Not for profit Organization in 1989. It was established to help underprivileged students with financial assistance to pursue higher education. It has awarded over 9000 scholarships of financial assistance to over 3400 students in composite Andhra Pradesh. It has now set up 850 Children's Libraries in government high schools in Andhra Pradesh and Telangana to inculcate book reading habit among underprivileged students of government schools in the last seven and half years.,"To inculcate the thirst for knowledge among students from marginalise sections of the society helping them to achieve their full potential so that the inherent human excellence is brought forth for the good of the individual and the society. To mobilise  adequate resources and administer them with dedication, efficiency and transparency.",Charitable Society,AAATB4485E,1755 of 1989 - 11-08-1989,H.Qrs11/12A&80G/32/ - 19-10-1990,HYD/80G/155(3)/08-09 - 10-09-2008,010260111 - 05-08-2016,N/A,"₹2,500,000","₹3,706,438","₹2,686,084","₹2,500,000","₹4,417",₹0,₹0,0,N/A,N/A,10,"General Volunteering Of Time, Fundraising",15,4,,http://www.ngoimpact.com/ngoadmin/public/governance/docs/governance-ngoimpact-33796.xls,"Resident Individuals, Foreign Nationals","Dr. Ashok Kache, Dr. N Bhaskara Rao, GiveIndia & many individuals",1/4/2009,31-03-2017,Education,"Andhra Pradesh,Telangana","Adilabad,Kalwakurthy",N/A,"₹3,500,000","₹1,817,340","3,50,000",Non-Government,http://www.ngoimpact.com/ngoadmin/public/project/photo/project-ngoimpact-58432.jpg,http://www.ngoimpact.com/ngoadmin/public/project/docs/project-ngoimpact-59294.pdf,"Project description BREAD Society seeks out schools which secure 6 or more National Means cum Merit Scholarships (NMMS) in a year and sets up libraries free of cost with funds received from its donors.NMMS test is held for 8th standard students of government and fully aided schools all over the country. 1 lakh scholarships are awarded annually to successful students. Scholarship is of Rs. 6,000 per year for four years till completion of higher secondary school (+2 or Intermediate as is known in some states). In andhra Pradesh and Telangana there are more than 14,000 school students competing for 7,000 Scholarships. On an average one student from two schools gets the Scholarship. Schools securing 6 or more scholarships in a year have excellent headmasters and teachers. They give coaching and guidance to students enabling them to succeed. BREAD Society believes that such schools will make best use of library facility and hence establishes libraries in such schools. BREAD libraries are also established in specific schools choosen by the donors. Each school is provided with 600-650 books of interest on various subjects of interest to students.A steel bookcase with four hanging lockable glass doors is also provided for safe custody of books. Students are given prizes for best write-ups on books read by them annually. Headmasters and teachers responsible for NMMS awards are felicitated in appreciation of their selfless service. Existing libraries are replenished books once in three years on a rotation basis. BREAD Society has evolved systems to operate the libraries through Voluntary Student Librarians. A CONTRIBUTION OF Rs. 35000 IS SOLICITED TO SET UP A BREAD CHILDREN's LIBRARY. PLEASE DONATE. YOU CAN ALSO DONATE RS.2000 TO ADD 80 NEW BOOKS TO AN EXISTING BREAD CHILDREN's LIBRARY.",http://www.ngoimpact.com/ngoadmin/public/ngo_profile/logo_avtar/basic-research-education-and-development-society-bread-society-ngoimpact-15818.jpg,Basic Research Education And Development Society (BREAD Society) Best Non-Government Organizations & Social Enterprises in India – NGO Impact,perm_identity Founded by Mr. Ramamohan Rao Kakani (ceo) ( 15 years of experience ),"room Plot # 1300 A, Jubilee Hills,, Road # 66,, Hyderabad, Telangana- 500033",http://http://www.breadsocietyindia.org/,Education,Andhra Pradesh,18,"₹ 3,500,000"
http://www.ngoimpact.com/ngos/divya-jyothi-charitable-trust#profile,"“ Divya Jyothi Charitable Trust” for the blind came into existence in Mysore during 2010 to fight the social and economic inequality shown for the visually impaired.  We believe in celebrating the achievements of these blind/visually challenged people. We see blindness rather visually impaired, not as a handicap, but as a visually challenged.  We provide means for the blind/visually impaired to get educated and develop skills necessary to find employment.","Empowering the visually impaired so that they lead a life of dignity and independence. Through its service, the trust will give wings to the dreams of every blind person.",Public Charitable Trust,AABTD4733A,MYN-4-00326-2010-11 - 08-11-2010,D-54/12AA/MYS2011-12 - 27-06-2011,D-54/12AA/MYS2011-12 - 08-11-2010,094590221 - 22-12-2016,N/A,"₹1,065,000",₹0,₹0,"₹1,065,000",₹0,₹0,₹0,7,3,N/A,21,"Business Development, Finance, Marketing",4,25,,,N/A,credible alliance,7/7/2016,17-11-2016,N/A,Karnataka,Mysore,N/A,"₹1,097,000",₹0,"15,000",Non-Government,,,"Project description “Divya Jyothi Charitable Trust” for the blind came into existence in Mysore during 2010 to fight the social and economic inequality shown for the visually impaired.  We believe in celebrating the achievements of these blind/visually challenged people. We see blindness rather visually impaired, not as a handicap, but as a visually challenged.  We provide means for the blind/visually impaired to get educated and develop skills necessary to find employment. We work to establish positive and constructive /productive roles for visually challenged people in the workplace and to educate the public about our Trust. The facilities provided for the visually impaired are: - Computer Training Center - Braille transcription Center - Braille Teaching - Braille Book Library - Soft skills training - Sports and Other Events - Conveyance for movement between college and hostel and Trust - Hostel with food The organization main goal is to expand the organization and help more than 100,000 visually impaired students by 2020 to see the light of tomorrow and help them to have better life. In order to do this we need funding and volunteer service from the society. We strive to success and we hope that one day we will have our own building which will be having Auditorium which can accommodate 300 students and 15 class rooms with advanced technology equipment’s to make the learning of visually impaired simpler and 2 Dormitory hall which will accommodate more than 60 students in one hall for sleeping and waste management recycling storage room since we care about our environment and surrounding we recycle the waste and use it for other purposes, residential school for  visually impaired, computer lab, dining hall, Braille library, gym and yoga classes and  training centre and the whole building will be provided with Centralised air conditioner. We have neither funding nor resources for the construction of building currently but that doesn't mean we will stop trying. We will try again and again because the happiness what you see when blind student touch and feel the computer, Braille books, practising yoga and GYM for first time is priceless.  We need societies help because without them there will always be darkness covered in the life of visually impaired.We know we are ambitious and we know we need help and support from our old as well as new friends! This is an appeal to our kind patrons, individuals, Companies and Government Bodies – to partner with us and contribute towards enabling children to dream, who today dare not dream given their physical and economic challenges! We invite you to take part in our endeavour to build a free residential school for the underprivileged with facilities comparable to better mainstream schools in the city. And as I dream all this by God grace our organization was sanctioned by CA site (land) to construct the residential school and training centre for visually impaired by Mysore urban development area in Mysore, Karnataka. So now we have confidence that we could help those people who are like me in the search of Hope. In order to do that we need your help so that because of you A BLIND’S LIFE CAN BE ENLIGHTENED. As I said earlier our vision is to touch 100,000 lives with disabilities and living in disabling conditions by 2020 and impact them in a manner that they become smiling tax payers instead of grudging dole recipients. Please join us to make this dream a reality!",http://www.ngoimpact.com/ngoadmin/public/ngo_profile/logo_avtar/divya-jyothi-charitable-trust-ngoimpact-61502.jpg,Divya Jyothi Charitable Trust Best Non-Government Organizations & Social Enterprises in India – NGO Impact,perm_identity Founded by Shiv Prakash ( 07 years of experience ),"room No.151/f, Premises of Bapuji Children's Home, Gokulam 3rd Stage, 4th Cross, Mysore, Karnataka- 570002",http://www.divyajyothitrust.org,Disability,Karnataka,18,"₹ 1,500,000"
http://www.ngoimpact.com/ngos/atma-foundation#profile,"ATMA Foundation is an NGO committed to empowering individuals and families to lead happier lives with healthier relationships, and to bring in positive change in the community. Over the years, we have organized over 1147 programmes , directly impacting over 1.9 lakh families (8th May 2006 – 31st March 2016). Our core philosophy is Living in Harmony - a practical philosophy of intrapersonal and interpersonal integration, for vision oriented value based happy living. Our Regular Activities include: i) Guidance & Counselling – Free Harmony Counselling, Counselling Training, Empowerment & Compassion Process Labs, Yoga Therapy, etc. for the last 15 years. ii) Empowerment Initiatives: Workshops, Seminars & Camps for empowerment of Teachers, Parents, Youth, Adolescents, Children & Social Workers.  . iii) Volunteer Development – Family Betterment sessions, workshops, EC Groups, TA groups… iv) Community Health Initiatives - Medical Camps & Awareness Campaigns Our ongoing projects are","MissionEmpowering individuals, families & social groups to live happier lives with healthier relationships and serves less privileged fellow beings with Love, by fostering intrapersonal and interpersonal harmony.VisionSocial Transformation through Effective Empowerment & productive Compassion",Public Charitable Trust,AADTA2673C,397/ IV / 06 - 08-05-2006,CIT-TCR/Tech/12A/18/ - 06-02-2012,AADTA 2673 C/09/15-1 - 28-05-2015,N/A,N/A,"₹27,310,000",₹0,₹0,"₹27,310,000",₹0,₹0,₹0,3,N/A,N/A,7,Fundraising,6,N/A,,,N/A,credible alliance,30-04-2014,29-11-2016,N/A,Delhi,New Delhi,N/A,"₹1,680,000",₹0,"1,226",Non-Government,,,"Project description The ATMA Harmony Centre currently functioning at the ATMA office in Thrissur, is designed to extend our services to the public. The present activities of the Harmony Centre include: Free Counselling Counselling support is available to anyone in need, by prior appointment, free of cost. The Counselling centre functions under the guidance of C K Suresh, Chairman of ATMA Foundation, who is an expert and experienced counsellor. He has developed his own approach of Harmony Counselling, wherein labelling is avoided, and the individual is empowered to achieve his needs on his own. Types of problems addressed include Self empowerment issues, Marital Relationship issues, Pre Marital Counselling , Academic Performance, Substance Abuse, Family Relationship Issues , Psycho pathological issues etc. L D Remediation Clinic The remediators at the clinic help children with learning disabilities to improve academic performance, with counselling support to the children & parents. We propose to develop this into an integrated child guidance centre involving experts from different concerned areas. Academic Support Teacher- Volunteers of ATMA provide regular academic support to school students of all classes who wish to improve their academic performance. These coaching classes focus on hooking the child’s interest, identifying physical/ mental/ emotional blocks to learning and providing the required support/ guidance to overcome them. We also conduct seminars and workshops for senior students – both subject- based and on topics related to exam preparation- eg: “How to Face Exams  with confidence and achieve excellent results”. Yoga Therapy & Training Yoga training is provided for stress relief and energy management. Yoga therapy is given to counter the effects of Life Style diseases like Diabetes, BP, Stress, etc.",http://www.ngoimpact.com/ngoadmin/public/ngo_profile/logo_avtar/atma-foundation-ngoimpact-71269.png,ATMA Foundation Best Non-Government Organizations & Social Enterprises in India – NGO Impact,perm_identity Founded by C.k Suresh ( 30 years of experience ),"room ATMA Foundation, Surya Gardens,, Paliyam Road, Thrissur, Kerala- 680001",http://www.atmafoundation.org,Promotion And Protection Of Child Rights,Kerala,0,₹ 0
http://www.ngoimpact.com/ngos/calcutta-rescue#profile,"Calcutta Rescue (CR) is a non – governmental organization (NGO) operating in Kolkata and parts of rural West Bengal for over three decades,  supporting with free medical care, education and development to the poorest and most disadvantaged people of Kolkata and rural West Bengal irrespective of gender, age, caste, or religion.","To reach out to more number of people living on the streets with our street medicine program and continue support of cases referred from the government hospitals through our clinics.To  Improve services in our education program by upgrading our infrastructure, through the acquisition of a school buildingTo Continue efforts to grow and make our handicraft and weaving projects self –sustainable.",Charitable Society,AAATC2014N,S/674950/ 1991- 92 - 04-04-1991,N/A,N/A,N/A,N/A,"₹2,000,750",₹0,₹0,"₹2,000,750",₹0,₹0,₹0,12,N/A,N/A,N/A,Finance,4,N/A,,,N/A,Credible Alliance,27-04-2011,26-05-2016,N/A,West Bengal,Kolkata,N/A,"₹1,097,000",₹0,680,Non-Government,,,"Project description Calcutta Rescue recognizes Education as a key to improve the future and the socio – economic conditions of the poorer sections of the society. Most children living in the slums and on the streets of Kolkata are not very keen to go to school. When they do, they often lack access to the necessary conditions – both material and social – because of which they cannot successfully carry on with their studies. These children have little hope of escaping the poverty trap. The schools of Calcutta Rescue attempt, to help these underprivileged children, by providing educational facilities to such children. Our aim is to prepare the the children to get them admitted in government schools and to support them throughout their school life. Our schools promote not only the children’s immediate well-being but also tries to maximize the opportunities available to them in the near future, thereby enhancing their quality of life.",http://www.ngoimpact.com/ngoadmin/public/ngo_profile/logo_avtar/calcutta-rescue-ngoimpact-17564.jpg,Calcutta Rescue Best Non-Government Organizations & Social Enterprises in India – NGO Impact,perm_identity Founded by Jack Preger ( 35 years of experience ),"room Calcutta Rescue 4th Floor, 85 Collin Street, Kolkata, West Bengal- 700016",http://www.calcuttarescue.org,Education,West Bengal,12,"₹ 1,500,000"
http://www.ngoimpact.com/ngos/milton-charitable-foundation-for-the-visually-handicapped#profile,"Since its inception, This organization has been working for the empowerment of visually impaired persons of Odisha in the field of Education, Training and Rehabilitation . in its 11 years of activities the organization has been able to run  major projects with the following focus areas: 1.Digital Talking Book Center for providing the study materials to the blind students and colleges. 2. Braille Library and resource for blind to provide necessary Braille books and important documents related to job, scholarship and other govt. scheme. 3. Computer training for Visually Impaired  to impart computer education as per the need of modern society the organization is providing  continuously free computer education to visually impaired persons. 4. Special Education Program for providing quality education and develop human resource  for the teaching of blind children. 5. Rehabilitation work shop for self employment of low literate youth disabilities. 6. Skill training & Employment programme for preparing the graduate and higher class students to face the competitive exams of various jobs both private and Govt. sector.","To dedicate itself as a facilitator of social development through participatory process of awareness generation, advocacy and need based intervention with due emphasis on the vulnerability of persons with disability, persons in special difficulty.To champion the cause of social justice and equality for persons with disability.It dreams of a society which is free from all stigma for persons with disability and people realise the potentiality of each individual and take an inclusive approach towards development.",Charitable Society,AABAM3529N,22905/115 - 18-09-2008,102/2011-12 - 12-03-2012,128/2011-12 - 12-03-2012,104910203 - 22-03-2012,N/A,₹0,"₹2,512,150","₹3,834,277",₹0,₹0,₹0,₹0,6,3,N/A,3,"Human Resources, General Volunteering Of Time, Website Development, Fundraising",11,4,,http://www.ngoimpact.com/ngoadmin/public/governance/docs/governance-ngoimpact-79916.pdf,"Government Bodies, Other Foreign NGOs, Domestic Companies, Foreign Companies","Indian Red Cross Society, Microleasing & Funding Ltd, Sitaram Jindal Foundation, Global Giving Foundation  USA, Global Hand, Hong Kong, Nasscom Foundation, New Delhi,",1/1/2009,1/12/2020,N/A,Odisha,Berhampur,N/A,₹0,₹0,200,Non-Government,,,Project description Since 2009 the organization has been conducting a  carrier centric  computer training program for youths with visual impairment in order to provide them necessary employable skills. This course has been  designed  as per the requirement of the government agencies and industries.   Around 200 persons with visual impaired have completed this training program and  few of them also have started their carrier.,http://www.ngoimpact.com/ngoadmin/public/ngo_profile/logo_avtar/milton-charitable-foundation-for-the-visually-handicapped-ngoimpact-65902.png,Milton Charitable Foundation For The Visually Handicapped Best Non-Government Organizations & Social Enterprises in India – NGO Impact,perm_identity Founded by Ranjan Kumar Biswal ( 12 years of experience ),"room Ashok nagar 5th Line Main road, Berhampur, Ganjam, Berhampur, Odisha- 760004",http://www.mcfvh.org,Disability,Odisha,14,"₹ 1,500,000"
http://www.ngoimpact.com/ngos/development-resource-centre#profile,"DEVELOPMENT RESOURCE CENTRE (DRC ) is a voluntary not-for-profit civil society organization that works towards catalyzing and influencing positive change in the life of people living on the margins of society. DRC is the  development resource organization, which has been rendering services to the SHGs, CBOs, VOs, NGOs, CSOs, Social Activists, Micro Credit Organizations and individual social workers in the field of training, development orientation, survey etc. aiming at strengthening of grassroots people, Non-Govt. Development Organizations and other individuals for a greater social cause. Though formally DRC took its real shape on 2nd October 2005 with collective effort of 11 members representing from medico, socio, culture, management, professional and social activists under the leadership of Mr. Yudhisthir Pradhan at- H.N. Colony, Gundicha Vihar, Sarbodaya Nagar, Dist-Puri-2, Orissa prior to this the organization was working in non-formal way with a with a 5nos. of intellecta resource group since 2nd October 2002 to 2005 providing development support services to the people in need basically the social workers, activists and people’s organizations of Puri district in particular.","MISSION:-The mission of DRC is to establishment of a sound, effective and meaningful society through organized community effort.VISION:-A new socio-economic order in which the poor and the women live at par with others followings the values of sustainable development, Global common-hood and empathy to wards the weaker sections.",Charitable Society,AAATD9150A,6595-04 of 2006-07 - 13-04-2006,19 of 2010-11 - 31-05-2010,N/A,N/A,N/A,"₹1,759,096","₹1,758,507","₹1,750,354","₹1,759,096","₹59,243",₹0,₹0,6,20,2,10,"Business Development, Finance, Fundraising",7,40,,,N/A Government Bodies,"credible alliance MINISTRY OF AGRICULTURE, GOI",12-02-2010 20-05-2012,08-03-2018 31-12-2014,N/A Environment And Sustainabilty,Odisha Odisha,Bhubaneswar Puri,N/A SATYABADI AND ASTARANGA BLOCK,"₹1,250,000 ₹500,000",₹0 ₹0,"234 2,500",Non-Government Government,http://www.ngoimpact.com/ngoadmin/public/project/photo/project-ngoimpact-15526.jpg,,"Project description The Organisation encourages farmers to adopt method methods of irrigation like rain water harvesting , terrace farming etc which would pave way for rural development. Project description N/A",http://www.ngoimpact.com/ngoadmin/public/ngo_profile/logo_avtar/development-resource-centre-ngoimpact-13217.jpg,Development Resource Centre Best Non-Government Organizations & Social Enterprises in India – NGO Impact,perm_identity Founded by Yudhisthir Pradhan ( 20 years of experience ),"room AT-H.N.COLONY, GUNDICHA VIHAR,, SARBODAY NAGAR,, Puri, Odisha- 752002",,Rural Development,Odisha,8,"₹ 2,000,000"
http://www.ngoimpact.com/ngos/childright#profile,"The Organisation is involved majorly in promotion & protection of childrights which includes providing kids of urban slums with education, working intensively for the juvenile deliquents. The Organisation is also a major proponent in functioning for the cause of women empowerment specially in the tribal belts of Odisha, also works in promoting alternate livelihoods & sustainable agriculture in these regions.",To promote & protect child right in the state.To work for the women empowerment in tribal regions.To engage in helping out communities by guiding them  about alternate livelihoods.,Charitable Society,AAATC4491R,19770/202 of1994-95 - 30-12-1995,N/A,N/A,N/A,N/A,"₹1,223,000",₹0,₹0,"₹1,223,000",₹0,₹0,₹0,3,N/A,N/A,N/A,"Business Development, Finance",4,N/A,,,N/A,Indian Institute of Corporate Affairs,8/3/2012,20-10-2016,N/A,Odisha,Bhubaneswar,N/A,"₹1,250,000",₹0,500,Non-Government,,,Project description Encouraging  the growth of micro-credit through savings which again promoting women empowerment in the tribal belt of the state.,http://www.ngoimpact.com/ngoadmin/public/ngo_profile/logo_avtar/childright-ngoimpact-86960.jpg,Childright Best Non-Government Organizations & Social Enterprises in India – NGO Impact,perm_identity Founded by Mr.tapan Padhi ( 15 years of experience ),"room Sector 3, House number 58, Ground Floor,, Niladribihar, Bhubaneswar, Odisha- 751021",,Promotion And Protection Of Child Rights,Odisha,8,"₹ 1,200,000"
http://www.ngoimpact.com/ngos/nitya-skill-and-rural-development-council#profile,"The Nitya Skill & Rural Development Council is a registered society under societies registration act XXI, 1860,registered on dated 25th May 2012 to promote, facilitate, conduct and co-ordinate social actions/programs for the emancipation and uplift of the weaker sections particularly those socially challenge and discriminated against on the grounds of gender, caste and creed nearly twelve long years in Delhi made it a proud harbinger of hope and confidence for hundreds of men and women whose hope of life has been completely shattered.","Vision & Mission To make India a poverty free nation. To empower women, youth and elderly persons to stream them into inclusive development of our SocietyEducate people & make them self reliance by providing various vocational courses .Creating legal awareness & imparting legal assistance to needy citizen, to have access to justice.And justice to all.",Public Charitable Trust,AACTN2372E,S/00895/NE/2012 - 25-05-2012,N/A,N/A,N/A,N/A,"₹2,500,000","₹1,511,900","₹1,563,280","₹2,500,000","₹100,000",₹0,₹0,10,5,2,50,"Business Development, Finance, Marketing, Technology, Legal, Fundraising",5,15,,,N/A,Indian Institute of Corporate Affairs,6/2/2014,24-10-2016,Environment And Sustainabilty,Delhi,New Delhi,N/A,"₹1,250,000",₹0,560,Non-Government,,,"Project description The tradition of creative work with images and sculptures is continued and developed in this main subject area. Inspiration from art and history, rock carving from antiquity and renaissance to contemporary art in our diverse society, form the basis and point of reference for the pupil’s own imagination and creative work with materials. ADVANCE DIPLOMA IN FINE ARTS/CREATIVE PAINTING Eligibility: 10+2 Duration: One  Year DIPLOMA IN FINE ARTS/CREATIVE PAINTING Eligibility: 10TH Duration: 6 Months CERTIFICATE IN FINE ARTS/CREATIVE PAINTING Eligibility: 10TH Duration: 3 Months Career Opportunities: Art & Craft teachers Handicraft Industry Hobby Centre Art Agencies Creative Art Designer",http://www.ngoimpact.com/ngoadmin/public/ngo_profile/logo_avtar/nitya-skill-and-rural-development-council-ngoimpact-24371.png,Nitya Skill & Rural Development Council Best Non-Government Organizations & Social Enterprises in India – NGO Impact,perm_identity Founded by Mr.anil Kumar ( 15 years of experience ),"room H-28,1st Floor, Om Complex, Laxmi Nagar, New Delhi, Delhi- 110092",http://www.nsrdc.org,Vocational And Skills Training,Delhi,10,"₹ 10,000,000"
http://www.ngoimpact.com/ngos/anjani-education-trust#profile,The Organisation is involved in facilitating education to the marginalised section of the society and belives in consolidating rights of street and working children.,To provide education to the marginalised section of the society. To promote child rights.,Public Charitable Trust,AAAAA7573K,220 - 10-08-2010,N/A,N/A,N/A,N/A,"₹500,000",₹0,₹0,"₹500,000",₹0,₹0,₹0,3,N/A,N/A,N/A,"Business Development, Finance",4,N/A,,,N/A,credible alliance,10/2/2011,27-12-2018,N/A,Delhi,New Delhi,N/A,"₹6,754,350",₹0,0,Non-Government,,,Project description N/A,http://www.ngoimpact.com/resources/assets/image/no-image-available.jpg,Anjani Education Trust Best Non-Government Organizations & Social Enterprises in India – NGO Impact,perm_identity Founded by Praveen Gola ( 15 years of experience ),"room A-1/20, Sector-11, Rohini , Delhi-110085, Sector-11, rohini, New Delhi, Delhi- 110048",,Education,Delhi,2,"₹ 1,000,000"
