SrNo,Name,RegNo,State,City,Address,PIN,SectorWorking
1,A & N Kayaking & Caneoing Association,1544,Andaman & Nicobar Islands, Port Blair ,C/O State Olympic Associationnetaji Stadiumport Blair,,Sports
2,A S Music And Dance A Cultural Organization,1534,Andaman & Nicobar Islands, Port Blair ,"As Music And Dance A Cultural Organization,8,Air Lane Delanipur Port Blair,South Andaman.744102",744102,NaN
3,Abhishweta Foundation,20211011RS00016,Andaman & Nicobar Islands, Port Blair ,"Room No.604(1)-Mb550, Near Urban Health Centre, Dairy Farm, Port Blair City, Andaman And Nicobar Islands 744103.",744103,"Science & Technology,Art & Culture,Biotechnology,Education & Literacy,Health & Family Welfare,Scientific & Industrial Research,Skill Development,Information & Communication Technology,Water Resources"
4,Adityanatyaacademy,888,Andaman & Nicobar Islands, Port Blair ,"31 M.G. Road,Opp. Sun Sea Resort,Middle Point.",,"Art & Culture,Children,Education & Literacy,Skill Development"
5,Anandodhara,1355,Andaman & Nicobar Islands, Port Blair ,C/O Baakprotima (Sbi Building)Junglighatport Blair-744103South Andamanpin-744103,744103,Art & Culture
6,Andaman & Nicobar Kho-Kho Association,1211,Andaman & Nicobar Islands, Port Blair ,State Olympic Associationnetaji Stadium,,Sports
7,Andaman & Nicobar Taekwondo Association,995,Andaman & Nicobar Islands, Port Blair ,Andaman Nicobar State Olympic Associationnetaji Stadium,,Sports
8,Andaman And Nicobar Chess Association,689,Andaman & Nicobar Islands, Port Blair ,"Andaman Nicobar Chess Association11 Km Road, Prem Nagar Near Electricity Site Office, Port Blair 744102,South Andamanandaman And Nicobar Islands",744102,Sports
9,Andaman And Nicobar Football Association,27,Andaman & Nicobar Islands, Kadamtala ,C/O Sapna Balapresidentex-Zilla Parishad Member,,Sports
10,Andaman And Nicobar State Olympic Association,1198,Andaman & Nicobar Islands, Port Blair ,"Andaman And Nicobar State Olympic Association, Netaji Stadium, Port Blair,South Andaman, Andamanand Nicobar Islandsph: 03192-243001",243001,Sports
1,Adil Gandhian Society,TSR 1/2004/2/of2004.,Meghalaya, Tura ,"Araimile,New Tura, West Garo Hills,Meghalaya",,"HIV/AIDS,Health & Family Welfare,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Agriculture,Differently Abled"
2,Agency For Sustainable Development Initiatives,NEW REGN.NO SR/AFSDI-30-18 OF ,Meghalaya, Shillong ,"C/O K.J.P.Synod Sepngichurch Housemission Compoundmeghalaya, Shillong-793002",793002,"Children,Differently Abled,Disaster Management,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Legal Awareness & Aid,Labour & Employment,Micro Finance (SHGs),Rural Development & Poverty Alleviation,Tribal Affairs,Vocational Training,Women's Development & Empowerment,Any Other"
3,All Meghalaya Minorities Students' Union,TSR.1/2005/Pt-/1997 ,Meghalaya, Shillong ,H.Q :-New Bhaitbarip.O :- New Bhaitbarip.S :- Phulbari,,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Education & Literacy,Human Rights,Information & Communication Technology,Labour & Employment,Legal Awareness & Aid,Minority Issues,Prisoner's Issues,Youth Affairs,Any Other"
4,Annie Margaret Barr Childrens Village,SW/SD/3/87/Pt/4875-4968,Meghalaya, Shillong ,"Mawsynjri, Kharang",,"Children,Any Other"
5,Anti Corruption & Human Development Organisation,TSR. 1/2005/Pt-1/2095 OF 2018,Meghalaya, Chibinang ,"Chibinang (Plain Belt) Tura, West Garo Hills, Meghalaya,794104",794104,NaN
6,Archdiocese Of Shillong,SR/TAS-416/88 of 1988,Meghalaya, Shillong ,Archbishop Houselaitumkhrahshillong 793003Meghalaya,793003,"Education & Literacy,Health & Family Welfare,Nutrition,Vocational Training,Youth Affairs,Education & Literacy,Health & Family Welfare,Nutrition,Vocational Training,Youth Affairs"
7,Asha Rehabilitation Centre Shillong,SR/ARC-632/98 OF 1998,Meghalaya, Shillong ,"Asha Rehabilitation Centrec/O 58 Gorkha Training Centre,Happy Valley",,Differently Abled
8,Auxilium Tribal Women And Children Welfare Society,MEG-RoS/2019/00058,Meghalaya, Shillong ,"Auxilium Tribal Women And Children Welfare Societyauxilium Convent, Nongthymmai – Shillong 793014East Khasi Hills - Meghalaya",793014,NaN
9,Auxilium Welfare Society Mawtnum Nongpoh,MEG-RoS/2019/00348,Meghalaya, Nongpoh ,Auxilium Welfare Society Mawtnum Nongpoh,,"Children,Education & Literacy,Vocational Training"
10,B P Rural Development Society,E-16(RS)8/2005/34,"Rs)8/2005/34, Shillong (Meghalaya", Shillong ,"B P Rural Development Society, Behind R. K. Dispensary, Lummawrie, Laitumkhrah, Shillong",,Art & Culture
1,1 Roti Gau Mata Ke Naam Trust,31Jaipur2020,Rajasthan, Jaipur ,"Plot No. 2, Bhadu Farm House Lane, Opp. Kamla Devi Budhiya School, 200 Ft. Bypass, Ajmer Road, Heerapura, Jaipur-302021",302021,NaN
2,100Medals Targeted Foundation,U85300RJ2021NPL077070,Rajasthan, Jaipur ,"Flat No. 04, Primrose 1, Park Apartments Vatika, Infotech City, Villagethikaria, Jaipur, Rajasthan302026",302026,Sports
3,109 Chandan Parshpadmawati Trust,17/2012/JODHPUR,Rajasthan, Jodhpur ,"Maa Padmawati Nagar, Chandan Vatka, Tanawada Fanta, Salawas Road",,Any Other
